chunk_id,doc_id,chunk_text,effective_date,exported_at
1,policy_refund_v4,"Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.",2026-02-01,2026-04-10T08:00:00
2,policy_refund_v4,"Yêu cầu được gửi trong vòng 7 ngày làm việc kể từ thời điểm xác nhận đơn hàng.",2026-02-01,2026-04-10T08:00:00
3,policy_refund_v4,"Yêu cầu hoàn tiền được chấp nhận trong vòng 14 ngày làm việc kể từ xác nhận đơn (ghi chú: bản sync cũ policy-v3 — lỗi migration).",2026-02-01,2026-04-10T08:00:00
4,sla_p1_2026,"Ticket P1 có SLA phản hồi ban đầu 15 phút và resolution trong 4 giờ.",2026-02-01,2026-04-10T08:00:00
5,policy_refund_v4,"",,2026-04-10T08:00:00
6,it_helpdesk_faq,"Tài khoản bị khóa sau 5 lần đăng nhập sai liên tiếp.",2026-02-01,2026-04-10T08:00:00
7,hr_leave_policy,"Nhân viên dưới 3 năm kinh nghiệm được 10 ngày phép năm (bản HR 2025).",2025-01-01,2026-04-10T08:00:00
8,hr_leave_policy,"Nhân viên dưới 3 năm kinh nghiệm được 12 ngày phép năm theo chính sách 2026.",2026-02-01,2026-04-10T08:00:00
9,legacy_catalog_xyz_zzz,"Chunk nội dung đủ dài để vượt ngưỡng expectation độ dài tối thiểu trong cleaned export.",2026-02-01,2026-04-10T08:00:00
10,it_helpdesk_faq,"FAQ bổ sung: đổi mật khẩu qua portal self-service có thể mất tối đa 24 giờ để đồng bộ toàn hệ thống.",01/02/2026,2026-04-10T08:00:00
11,policy_refund_v4,"Khách hàng cần cung cấp mã đơn hàng hợp lệ khi gửi yêu cầu hoàn tiền.",2026-02-01,2026-04-10T08:00:00
12,sla_p1_2026,"Escalation cho ticket P1 phải được thực hiện nếu chưa có phản hồi sau 15 phút.",2026-02-01,2026-04-10T08:00:00
13,it_helpdesk_faq,"Nếu mất quyền truy cập VPN, người dùng cần mở ticket với mức độ ưu tiên phù hợp.",2026-02-01,2026-04-10T08:00:00
14,hr_leave_policy,"Nhân viên cần gửi đơn nghỉ phép trước ít nhất 3 ngày làm việc, trừ trường hợp khẩn cấp.",2026-02-01,2026-04-10T08:00:00
15,legacy_catalog_xyz_zzz,"Bản ghi legacy phát sinh từ hệ cũ chưa được mapping vào allowlist chính thức.",2026-02-01,2026-04-10T08:00:00
